web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href
1556763701-486|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|light reading; very different from Harry P.|17-Jul-03|"A charming little book! I read it in one sitting, and it wasn't at all what I expected. For one thing, these have been sold along side the Harry Potter books and this one, at least, had no magic in it. On the contrary, it was very down-to-earth. The children's solutions to their problems did not seem particularly far-fetched. Although the books are ""dark"" in some ways, they do not teach a helpless outlook. On the contrary, the kids usually solves their problems by either reading books (law books, in this case) or by using their minds to come up with technological solutions. Their plans are frequently thwarted, and they have to start over again, but they don't give up.
The plot is simple: three orphaned kids must deal with a malevolent guardian who's after their money. The fun part is the witty, entertaining prose. My only criticism is that frequent explanations of word meanings get old. As a child, I derived most of my word definitions from context and figured things out quite neatly. This author stops the dialogue to define words, which is cute the first few times and gets a little annoying towards the end. However, this is a children's book, and perhaps children like that sort of thing. At any rate, I will definitely read the second one."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_49?ie=UTF8&filterByStar=five_star&pageNumber=49&reviewerType=all_reviews
1556763644-223|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|McKenzie Walker|Miss fourtion|13-Feb-13|These children have been given millions of dollars. But the three orphans have one creepy foster parent. Count Olaf will kill the children to get every last cent of the fortune. Even marrying the young Violet.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews
1556763736-644|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Brian|The Bad Beginning Review|23-Oct-02|This is a great book, and I reccomend this series to most people, because it's got humor, suspense, action, and mystery all slamed into one series. The whole series is about these three children, Violet, the oldest who is 14 and loves to invent things. Klaus, 11, loves to read books about anything. Sunny, the youngest, about 12 months old, likes to bite things, anything really. Their family is VERY wealthy. So anyway, the series is about these three children and their unfortunate events that occur after their parents die in from a fire that happened at their house, and they meet a horrible person who keeps going after their fortune. You'll have to find out what happens in the 9 book series.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&filterByStar=five_star&pageNumber=65&reviewerType=all_reviews
1556763603-42|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|P. Robles|Poor little orphans.|2-Feb-13|I have seen this movie and enjoyed it. So I thought I would try the book. Loved it. Much better than the movie, which books usually are. The kids are adorable without being mushy. Even though I knew the outcome, I found myself not able to put the book down so I could see how they were getting out of the different predicaments they got themselves into. I will read more of these series. Highly recommend to read to kids, too.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews
1556763692-444|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Aaron|This Is A Very Good Series, I Recommend It|13-Jul-05|"I'll admit this is a very unfortunate, evil, sinister story, but as you read along you begin wondering about Count Olaf.  And as the story progresses, thing get worse and the plot unravels.  After this is over you move on to ""The Reptile Room"", which I also recommend.  But, I'll go into that when I review that book.

The story begins with the introduction of Violet, Klaus, and Sunny Baudelaire, 3 very intelligant children who know that there's always something.  Something to invent, something to read, and something to bite.  Violet, the oldest, is one of the world's greatest 14-Year-Old inventors.  She can take almost anything and build almost anything with it in almost any circumstance.  Klaus, the middle child, is a 12-Year-Old reader.  Nothing pleases him more then spending an afternoon filling up his head with a book's contents (and he never forgets anything he reads either).  Sunny, age unknown, loves bites things.  Sunny speaks in a series of unintelligible shrieks.  But, these 3 children over go something huge when they find out their parents have died in a fire that's destroyed their entire home.  This makes for a lovely beginning, doesn't it?  Ha ha ha... WRONG!  Gets worse.

Next up, spending time with Mr. Poe (the banker in charge of the Baudelaire orphans affairs) and his family.  There's nothing interesting about this part.  So, we'll skip ahead to Count Olaf.  This son-of-a-***** is so sinister, it makes me angry to read about him.  He makes them do chores that an adult should be doing, he calls them ""Orphans"", his associates are also ******* beyond all reason, and he does so many bad things to them.  This all builds up through a series of unfortunate events to a play at the end, ""The Marvelous Marriage"" by Al Funcoot, in which Count Olaf disguises his real marriage to Violet as a marriage in a play in order to gain control of the Baudelaire fortune.  Of course, she outwits him by signing the marriage documanet with her left hand instead of her right, as the marriage law states.  The law is that the bride must sign the document in her OWN hand.  And Violet's right-handed, so signing it with her left hand saves the children and their fortune.  He escapes and so ends the story.  However... it gets better (but not for the Baudelaire children).

The 2nd is called ""The Reptile Room"".  Pick it up off the shelf if you want to read the next chapter of the series.  I, personally, am reading them 1-By-1 from my library.  I'm up to book # 7.  Read the series, it gets so much better.  A mystery becomes involved, and more people... oh, it's the work of a true genius.  I recommend the entire series.  Read 'em all."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_45?ie=UTF8&filterByStar=five_star&pageNumber=45&reviewerType=all_reviews
1556763712-537|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|M. M. Green|For a kid at heart, good story to start|23-Oct-04|"I just started reading this series. I finished this first book in a few hours, it's really good. I really enjoyed reading this book despite the fact that it's a childrens/teen book and I'm in graduate school working on a Masters, I still enjoyed it like any other fiction. A good story is a good story and Lemony Snicket really did well on this story.

I like the way that vocabulary is introduced and defined throughout the story. For any kids looking to build their vocabulary buy this book. I would suggest this book for all ages. It's a fun series and I'm making my way throught the whole thing."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&filterByStar=five_star&pageNumber=54&reviewerType=all_reviews
1556763712-535|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Anne Lowell|We Love Lemony Snicket|8-Jan-13|"I started reading this book to screen it for my easily-frightened 8 year old daughter. I decided she was not ready for A Series of Unfortunate Events, although I loved The Bad Beginning and continued through the series on my own. But she had other ideas. After plucking the book from our library and reading a chapter, and then another, and then another, she was as hooked , and even better, unperturbed by the sad circumstances of the Baudelaire orphans. She passed me in Book 11, The Grim Grotto and finished before I did.

Lemony Snicket's love of the written word, playfullness with language and masterful plotting makes each page come alive. Although I liked some books better than others,  all were wickedly entertaining, enlightening and fun. We're already looking forward to rereading the series aloud with my seven year old son. It's a must read for clever kids."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&filterByStar=five_star&pageNumber=54&reviewerType=all_reviews
1556763597-11|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Samantha|Everything is dreadfully delightfully horrid|26-Jul-15|"Horrid, as I'm sure you know, is a word that here means awful.

The brains of the unfortunate Baudelaire children are incredible and the fact that these books show children using the power they have to save themselves and their loved ones is something very important to me. And seeing a girl like Violet, a girl who is so like the other girls of her age, using her incredible talent for science is just marvelous. And these books never once sugar coat anything (unlike the film).

And to those of you who are wanting to read the books after watching the film, the letter never comes. I'm re-reading these books, and I won't spoil them for you. But nothing is black and white except the print on the pages. Nothing is as simple as we'd like to make it out to be. Very few are wholly evil, and very few are wholly good.  Not everyone makes it out alive and unscathed, and you don't always receive closure.

But that is life.

And life will always have a Series of Unfortunate Events."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews
1556763719-569|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|A unique entry in children's literature...|3-Sep-99|"This very well written and engaging book reads like a fleshed out Edward Gorey tale - complete with descriptive, odd ball place names and young innocents suffering at the hands of their evil (or simply incompetent)  elders. The concept works thanks in no small part to the clever writing  style, smooth narrative and strong imagination running throughout the  story. The drawings, while not spectacular, are charming and add very nice  details to the book itself. Other nice touches include the endpapers,  ""Ex Libris"" plate (both by the illustrator), and the smirky  attitude of the narrator (Lemony Snicket).
A truly unique and  immaginative item. Highly recommended."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_57?ie=UTF8&filterByStar=five_star&pageNumber=57&reviewerType=all_reviews
1556763763-766|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|tiki|this book rocks man!|18-Jun-01|I don't have too much to say, but I recomend this book for just about any one. An interestig twist between mystory, mysory and humor told by a hilarious auther (Lemony snicket.) This book is a wonderful read and a great way to learn new words.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_77?ie=UTF8&filterByStar=five_star&pageNumber=77&reviewerType=all_reviews
1556763608-67|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Victky G.|It was purchased for my nephew who is a great reader. He had never read the series|31-May-17|It was purchased for my nephew who is a great reader. He had never read the series, and he is really enjoying the book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews
1556763743-679|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jennesiss cepeda|Amazing|27-Dec-12|My older sister got me this book because I was constantly complaining about how all the stories I have read all have happy ending and how I wanted to read just one story without one. This book was more than I could have asked for I read it in a mere day simply because it was so interesting and had such a twist of events. As an 11 year old I can not possibly imagine everything these children went through,overall I can't wait to read the second book!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&filterByStar=five_star&pageNumber=68&reviewerType=all_reviews
1556763623-138|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|dlorac|Perfect!|7-Mar-15|Such fun adventures for my 7 year old grandchildren.  They love them!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews
1556763614-97|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Big Dog|The good book.|4-Dec-13|"I really liked this book. I`'ve had a hard time finding a good book. I would read this book over,I don`t do that a lot!I`m just a kid,but still it was a good book! I recommend this to others.
A.T."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews
1556763705-503|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Rebecca L. Delass|I love this book so much  Shaun van Breda|11-May-12|A series of unfortunate events is based on the cover, it is a series of unfortunate events. The three characters are Sunny, Vilot, and Klaus. From the first page of the book, the Baudelaire children are at the beach, when they recive terrible news. They end up at their far relatives manshion . He is really mean and gives the children hard chores, until one day, the uncle changes. That same day, they find out the uncles plan. In the story, everything is very unfortunate for the children. In the end, everything seems okay, but it's really not. You would never expect what happens.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&filterByStar=five_star&pageNumber=51&reviewerType=all_reviews
1556763763-767|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Emily|Amazing|5-Jan-14|I love the way Lemony Snicket uses intelligent words and different settings and themes for writing this series. I love it.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_77?ie=UTF8&filterByStar=five_star&pageNumber=77&reviewerType=all_reviews
1556763686-419|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|A. Luciano|Dark and Hysterically Funny|25-Apr-07|"This book begins the story of the three Baudelaire children.  Violet is fourteen, Klaus is twelve, and Sunny is a baby.  The author starts off by telling you that the story will not be a happy one, and he is certainly right.  The children first learn that both of their parents have died in a fire.  From there things get worse.  Their mansion is gone, leaving the children homeless as well as orphans.  Their parents' will stated that they should go to a relative living somewhere in the city, so their lives won't be disrupted too much.  After some searching, the executor of the will finds a relative--Count Olaf, who lives on the other side of the city.

Count Olaf is a mean and scary man, who makes the children do hard work for him all day and only gives a small room with one bed for all of them to live in.  The children are miserable living with him right from the start.  Then things get worse still.  Count Olaf is determined to get his hands on the Baudelaire fortune, which Violet will inherit when she turns eighteen.  The children know that when he asks them to perform in a play with him, he is up to something.  Will they be able to figure out what it is in time to stop him from getting all of their money?

I love the tone of this book.  I love how the author keeps talking directly to the reader to point out that he is telling the story.  Instead of being an impersonal voice, he is another character, with a distinctive personality.

The children in this story are incredibly strong.  They have lived through awful situations but they are still able to function and depend on each other, so despite the author's warnings, you never really believe they are in such trouble."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&filterByStar=five_star&pageNumber=42&reviewerType=all_reviews
1556763721-579|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|RaptorTBF|What a strange idea.|30-Aug-02|"Reverse psychology in its most freakish form.
From the start of any of Lemony Snicket's books, on the back of his books, and throughout the pages, Snicket urges readers to put down the book and for the reader to pick up something happier. Who would have thought that a children's author would successfully convince children to keep reading his books by making his stories everything that kids, stereotypically, don't want to read.
Spread like encyclopedic lice throughout his books are helpful explanations as to what some of the larger words he uses in his story mean. Soon our children will be using words that we aren't even sure as to what the meanings of them are.
All in all Snicket's stories aren't really all the groundbreaking but are a delight to read simply for the author's commentary into the lives of the unfortunate Baudelaire children, and occasionally references to the author's own life.
I strongly recommend these books for anyone who enjoys Roald Dahl's style of writing, both in his children's stories and his more adult short stories. Snicket grabs your attention and squeezes it until a passerby could easily mistaken it for an Italian zucchini.
An instant classic for anyone who enjoys reading about other peoples woes."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_58?ie=UTF8&filterByStar=five_star&pageNumber=58&reviewerType=all_reviews
1556763712-532|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|A animal lover|A great book|7-Aug-18|Was great to hear this book, the narrator did a great job|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&filterByStar=five_star&pageNumber=54&reviewerType=all_reviews
1556763668-335|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jeanine M. Mawer|Great book for Tweens!!!|22-Nov-13|because it was an interesting book that explained the words and the story developed quickly, so it was very engaging.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&filterByStar=five_star&pageNumber=34&reviewerType=all_reviews
1556763734-631|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|LoveJoyPeace|Child's review.|21-Mar-13|This book is the first in a series of thirteen and is about three orphans who are left a great fortune by their parents.  Unfortunately, they must live with a count whose mind is set on taking their fortune from them.  I like this book a lot because the author is very much talking to you and makes you feel as though you are in the story.  His explanation of tricky words is also helpful.  There is a lot of suspense and sad occasions.  I would recommend this series only to people who can handle the constant sadness.  Even though I wanted to stop reading, I couldn't because it is such a great story.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&filterByStar=five_star&pageNumber=64&reviewerType=all_reviews
1556763758-741|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|An 11-year old reader|Are You Sure You Want to Read This Sad Scary Book?|21-Dec-00|When three childrens parents die in a fire at their big manshion, the children must stay with blustering Count Olaf who seems nice at first, but beware!, because Count Olaf is a greedy sicspisios man that is a old fool with a big brain trying hard to get the poor orphans forchain.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&filterByStar=five_star&pageNumber=75&reviewerType=all_reviews
1556763710-529|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Joshua A. Patterson|don't read it and it will be unfortunate for you!|10-Jan-05|"I've read several reviews knocking this book. So, here is an opinion from a 5th grade teacher who reads this book to her class every year.

First of all: it is NOT Harry Potter, nor is this novel trying to be. Yes, the books are dark. But, to those who say they are inappropriate for kids, look in the news. Most children don't live a sunny, happy existence. Kids who have tough lives can relate to this novel and it will not do any damage to kids who come from happy homes.

Second of all, I feel the novels are fantastically written for a 4th/5th grade level. Snickett does explain word definitions. This is not dumbing down since the one thing most kids struggle with is reading comprehension. If they can't understand it, you won't enjoy it.

Lastly, this is one of the only books that I read aloud that my class shows any interest in. They laugh at Count Olaf, they gasp when he slaps Klaus. If The Bad Beginning grabs children's interest and causes them to read the whole series, think of how much the kids are reading. The only way to be a better reader is to read!

I would thoroughly recommend this book."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&filterByStar=five_star&pageNumber=53&reviewerType=all_reviews
1556763743-675|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Trackspider|The Bad Beginning- Great start to a great series.|1-Apr-11|"I really cannot understand why people dont like this book. They think its too dark? Its called ""A series of unfortunate events"" it's supposed to be dark. And it actually has a better plotline than alot of popular books out there, for example, Percy Jackson, ugh, that series is so freaking terrible that it made some people betray there religion and become a fairytale greek god worshipper. Thats just messed up. I dont think this book tops Harry Potter but its on Harry Potters level. Great Book."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&filterByStar=five_star&pageNumber=68&reviewerType=all_reviews
1556763750-709|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|LEMZ|AWESOME!!!!|9-Feb-13|This book was full of adventure, mystery, excitement, and laughter. You should defiantly read this book. SERIES OF UNFORTUNATE EVENTS RULES!!!!!!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_71?ie=UTF8&filterByStar=five_star&pageNumber=71&reviewerType=all_reviews
1556763697-464|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Sylviastel|Such an Easy Entertaining Read!|14-Feb-11|"Lemony Snicket's book, ""The Bad Beginning,"" is the story about the Baudelaire orphans (Klaus, 14 year old Violet, and baby Sunny) who are forced to live with a distant cousin, Count Olaf, a struggling actor, in his terrible home environment.

The author does a very good job in moving the story quickly along to allow the suspense to begin. Count Olaf is a terrible man, the children learn but he's a relative. He has a vicious, evil plan to inherit the Baudelaire fortune.

Without giving it away, the good and bad people are easy to learn in this story. The characters are colorful like Count Olaf, Judge Strauss, and Mr. Poe. The kids are also well-written to help move the story along.

The book only took me less than an hour to read at the most. It's an easy fun read even for adults."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=five_star&pageNumber=47&reviewerType=all_reviews
1556763655-272|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Reggie|Great book|21-Jan-13|THIS IS ONE OF THE BEST BOOKS I HAVE EVER READ.THE BOOK KEEPS YOU GLUED TO THE PAGES. I STAYED UP LATE TO FIND OUT WHAT HAPPEND TO THE BAUDELAIRE ORPHANS.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&filterByStar=five_star&pageNumber=28&reviewerType=all_reviews
1556763769-791|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|the best book|30-Jan-11|it may start unhappy and end that way to but it is a great beggining book for a series. it will leave you wanting more.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_80?ie=UTF8&filterByStar=five_star&pageNumber=80&reviewerType=all_reviews
1556763597-12|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jake Houston Bridges|A good read!|25-Jul-16|If you like a good story at someone else's expense, you've come to the right place. Enjoy reading the book you sadist.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews
1556763767-781|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Gale G. Gortney|I would give this book a 5 star rating because it is interesting|14-Jan-13|"And exciting. I especially liked the characters in the book
I really liked Count Olaf and Mr.Poe and Sunny .s
Word's"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_79?ie=UTF8&filterByStar=five_star&pageNumber=79&reviewerType=all_reviews
1556763734-638|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|A.|Review #1,337|31-Mar-19|I just wanted to say I had the 1,337th review. Also, this book makes child abuse funny.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&filterByStar=five_star&pageNumber=64&reviewerType=all_reviews
